RN,RN_CD,geometry
거마로17번길,4310020,"0    LINESTRING (129.294442559479 35.53633500073358...
Name: geometry, dtype: object"
거마로17번길,4310020,"0    LINESTRING (129.2959079491021 35.5358150078238...
Name: geometry, dtype: object"
거마로5번길,4310026,"0    LINESTRING (129.2952757805788 35.5348220337121...
Name: geometry, dtype: object"
거마로66번길,4310028,"0    LINESTRING (129.2982681493646 35.5397410024056...
Name: geometry, dtype: object"
거마로77번길,4310029,"0    LINESTRING (129.2989499644216 35.5406721257923...
Name: geometry, dtype: object"
굴화3길,4310032,"0    LINESTRING (129.2627265465595 35.5561237727710...
Name: geometry, dtype: object"
굴화4길,4310033,"0    LINESTRING (129.2653631087821 35.5547439498672...
Name: geometry, dtype: object"
꽃대나리로15번길,4310034,"0    LINESTRING (129.3318602826809 35.5330820396363...
Name: geometry, dtype: object"
꽃대나리로37번길,4310035,"0    LINESTRING (129.3340366485073 35.5335808676778...
Name: geometry, dtype: object"
꽃대나리로46번길,4310036,"0    LINESTRING (129.3334164452546 35.5311210235847...
Name: geometry, dtype: object"
꽃대나리로46번길,4310036,"0    LINESTRING (129.334986341519 35.5336246734953,...
Name: geometry, dtype: object"
꽃대나리로51번길,4310037,"0    LINESTRING (129.3355335983175 35.5336083372672...
Name: geometry, dtype: object"
꽃대나리로95번길,4310038,"0    LINESTRING (129.3403740035197 35.5333277189866...
Name: geometry, dtype: object"
남부순환도로106번길,4310039,"0    LINESTRING (129.2660333026719 35.5404871287359...
Name: geometry, dtype: object"
남부순환도로23번길,4310040,"0    LINESTRING (129.264552824644 35.54832208268393...
Name: geometry, dtype: object"
남부순환도로23번길,4310040,"0    LINESTRING (129.2639740468812 35.5473778009498...
Name: geometry, dtype: object"
남부순환도로27번길,4310041,"0    LINESTRING (129.264002970748 35.54698370410097...
Name: geometry, dtype: object"
남부순환도로27번길,4310041,"0    LINESTRING (129.2654343224181 35.5493669997836...
Name: geometry, dtype: object"
남부순환도로293번길,4310042,"0    LINESTRING (129.2744787294447 35.5268551728592...
Name: geometry, dtype: object"
남부순환도로293번길,4310042,"0    LINESTRING (129.2783548364517 35.5268229844202...
Name: geometry, dtype: object"
남부순환도로29번길,4310043,"0    LINESTRING (129.2640115130946 35.5468776798252...
Name: geometry, dtype: object"
남부순환도로433번길,4310044,"0    LINESTRING (129.2887298824953 35.5239317315943...
Name: geometry, dtype: object"
남부순환도로47번길,4310045,"0    LINESTRING (129.2641715959361 35.5452514298082...
Name: geometry, dtype: object"
남부순환도로47번길,4310045,"0    LINESTRING (129.2647586733711 35.5452941602278...
Name: geometry, dtype: object"
남부순환도로47번길,4310045,"0    LINESTRING (129.2653846496586 35.5461458667108...
Name: geometry, dtype: object"
남부순환도로47번길,4310045,"0    LINESTRING (129.2647586733711 35.5452941602278...
Name: geometry, dtype: object"
남부순환도로569번길,4310047,"0    LINESTRING (129.3016321952978 35.5180439791525...
Name: geometry, dtype: object"
남부순환도로626번길,4310048,"0    LINESTRING (129.3077394569423 35.5175786104483...
Name: geometry, dtype: object"
남부순환도로627번길,4310049,"0    LINESTRING (129.3079492511652 35.5176846019382...
Name: geometry, dtype: object"
남산로124번길,4310050,"0    LINESTRING (129.2834758181868 35.5485687736673...
Name: geometry, dtype: object"
남산로12번길,4310051,"0    LINESTRING (129.2720351235183 35.5519488469122...
Name: geometry, dtype: object"
남산로12번길,4310051,"0    LINESTRING (129.2720406023175 35.5520854028653...
Name: geometry, dtype: object"
남산로12번길,4310051,"0    LINESTRING (129.2720650318773 35.5526698544991...
Name: geometry, dtype: object"
남산로26번길,4310052,"0    LINESTRING (129.273508178394 35.55260930313732...
Name: geometry, dtype: object"
남산로26번길,4310052,"0    LINESTRING (129.2734728895718 35.5521499757604...
Name: geometry, dtype: object"
남산로314번길,4310053,"0    LINESTRING (129.3023544597895 35.5454363222272...
Name: geometry, dtype: object"
남산로324번길,4310054,"0    LINESTRING (129.3033182192181 35.5461523548562...
Name: geometry, dtype: object"
남산로332번길,4310055,"0    LINESTRING (129.3038013821905 35.5467267207741...
Name: geometry, dtype: object"
남산로338번길,4310056,"0    LINESTRING (129.3038633095554 35.5472090188785...
Name: geometry, dtype: object"
남산로348번길,4310057,"0    LINESTRING (129.3037596936248 35.5481885180027...
Name: geometry, dtype: object"
남산로354번길,4310058,"0    LINESTRING (129.3041680458645 35.5486423139285...
Name: geometry, dtype: object"
남산로44번길,4310059,"0    LINESTRING (129.2754362673544 35.5520250641124...
Name: geometry, dtype: object"
남산로44번길,4310059,"0    LINESTRING (129.2737498893929 35.5515367237860...
Name: geometry, dtype: object"
남산로48번길,4310060,"0    LINESTRING (129.2758500320275 35.5518591236416...
Name: geometry, dtype: object"
